Label,control_sample,conc,labs_if_unknown
Control: MGH VC pool1:1600,MGH VC pool,0.000625,Unknown20
Control: MGH VC pool1:6400,MGH VC pool,0.00015625,Unknown21
Control: MGH VC pool1:6400,MGH VC pool,0.00015625,Unknown21
Control: MGH VC pool1:25600,MGH VC pool,3.91E-05,Unknown22
Control: MGH VC pool1:25600,MGH VC pool,3.91E-05,Unknown22
Control: MGH VC pool1:102400,MGH VC pool,9.77E-06,Unknown23
Control: MGH VC pool1:102400,MGH VC pool,9.77E-06,Unknown23
Control: MGH VC pool1:409600,MGH VC pool,2.44E-06,Unknown24
Control: MGH VC pool1:409600,MGH VC pool,2.44E-06,Unknown24
Control: MGH VC pool1:1638400,MGH VC pool,6.10E-07,Unknown25
Control: MGH VC pool1:1638400,MGH VC pool,6.10E-07,Unknown25
Control: MGH Typhi HL1:1000,MGH Typhi HL,0.001,Unknown26
Control: MGH Typhi HL1:1000,MGH Typhi HL,0.001,Unknown26
Control: MGH Typhi HL1:4000,MGH Typhi HL,0.00025,Unknown27
Control: MGH Typhi HL1:4000,MGH Typhi HL,0.00025,Unknown27
Control: MGH Typhi HL1:16000,MGH Typhi HL,0.0000625,Unknown28
Control: MGH Typhi HL1:16000,MGH Typhi HL,0.0000625,Unknown28
Control: MGH Cholera HL1:1000,MGH Cholera HL,0.001,Unknown29
Control: MGH Cholera HL1:1000,MGH Cholera HL,0.001,Unknown29
Control: MGH Cholera HL1:4000,MGH Cholera HL,0.00025,Unknown30
Control: MGH Cholera HL1:4000,MGH Cholera HL,0.00025,Unknown30
Control: MGH Cholera HL1:16000,MGH Cholera HL,0.0000625,Unknown31
Control: MGH Cholera HL1:16000,MGH Cholera HL,0.0000625,Unknown31
Control: MGH Shigella HL1:1000,MGH Shigella HL,0.001,Unknown32
Control: MGH Shigella HL1:1000,MGH Shigella HL,0.001,Unknown32
Control: MGH Shigella HL1:4000,MGH Shigella HL,0.00025,Unknown33
Control: MGH Shigella HL1:4000,MGH Shigella HL,0.00025,Unknown33
Control: MGH Shigella HL1:16000,MGH Shigella HL,0.0000625,Unknown34
Control: MGH Shigella HL1:16000,MGH Shigella HL,0.0000625,Unknown34
Control: IMM mixed pool1:1000,IMM mixed pool,0.001,Unknown1
Control: IMM mixed pool1:1000,IMM mixed pool,0.001,Unknown1
Control: IMM mixed pool1:4000,IMM mixed pool,0.00025,Unknown2
Control: IMM mixed pool1:4000,IMM mixed pool,0.00025,Unknown2
Control: IMM mixed pool1:16000,IMM mixed pool,0.0000625,Unknown3
Control: IMM mixed pool1:16000,IMM mixed pool,0.0000625,Unknown3
Control: IMM mixed pool1:64000,IMM mixed pool,0.000015625,Unknown4
Control: IMM mixed pool1:64000,IMM mixed pool,0.000015625,Unknown4
Control: IMM mixed pool1:256000,IMM mixed pool,3.91E-06,Unknown5
Control: IMM mixed pool1:256000,IMM mixed pool,3.91E-06,Unknown5
Control: IMM mixed pool1:1024000,IMM mixed pool,9.77E-07,Unknown6
Control: IMM mixed pool1:1024000,IMM mixed pool,9.77E-07,Unknown6
Control: IMM mixed pool1:4096000,IMM mixed pool,2.44E-07,Unknown7
Control: IMM mixed pool1:4096000,IMM mixed pool,2.44E-07,Unknown7
Control: IMM mixed pool1:16384000,IMM mixed pool,6.10E-08,Unknown8
Control: IMM mixed pool1:16384000,IMM mixed pool,6.10E-08,Unknown8
Control: IMM VC pool1:100,IMM VC pool,0.01,Unknown18
Control: IMM VC pool1:100,IMM VC pool,0.01,Unknown18
Control: IMM VC pool1:400,IMM VC pool,0.0025,Unknown19
Control: IMM VC pool1:400,IMM VC pool,0.0025,Unknown19
Control: IMM VC pool1:1600,IMM VC pool,0.000625,Unknown20
Control: IMM VC pool1:1600,IMM VC pool,0.000625,Unknown20
Control: IMM VC pool1:6400,IMM VC pool,0.00015625,Unknown21
Control: IMM VC pool1:6400,IMM VC pool,0.00015625,Unknown21
Control: IMM VC pool1:25600,IMM VC pool,3.91E-05,Unknown22
Control: IMM VC pool1:25600,IMM VC pool,3.91E-05,Unknown22
Control: IMM VC pool1:102400,IMM VC pool,9.77E-06,Unknown23
Control: IMM VC pool1:102400,IMM VC pool,9.77E-06,Unknown23
Control: IMM VC pool1:409600,IMM VC pool,2.44E-06,Unknown24
Control: IMM VC pool1:409600,IMM VC pool,2.44E-06,Unknown24
Control: IMM VC pool1:1638400,IMM VC pool,6.10E-07,Unknown25
Control: IMM VC pool1:1638400,IMM VC pool,6.10E-07,Unknown25
Control: IMM Typhi HL1:1000,IMM Typhi HL,0.001,Unknown26
Control: IMM Typhi HL1:1000,IMM Typhi HL,0.001,Unknown26
Control: IMM Typhi HL1:4000,IMM Typhi HL,0.00025,Unknown27
Control: IMM Typhi HL1:4000,IMM Typhi HL,0.00025,Unknown27
Control: IMM Typhi HL1:16000,IMM Typhi HL,0.0000625,Unknown28
Control: IMM Typhi HL1:16000,IMM Typhi HL,0.0000625,Unknown28
Control: IMM Cholera HL1:1000,IMM Cholera HL,0.001,Unknown29
Control: IMM Cholera HL1:1000,IMM Cholera HL,0.001,Unknown29
Control: IMM Cholera HL1:4000,IMM Cholera HL,0.00025,Unknown30
Control: IMM Cholera HL1:4000,IMM Cholera HL,0.00025,Unknown30
Control: IMM Cholera HL1:16000,IMM Cholera HL,0.0000625,Unknown31
Control: IMM Cholera HL1:16000,IMM Cholera HL,0.0000625,Unknown31
Control: IMM Shigella HL1:1000,IMM Shigella HL,0.001,Unknown32
Control: IMM Shigella HL1:1000,IMM Shigella HL,0.001,Unknown32
Control: IMM Shigella HL1:4000,IMM Shigella HL,0.00025,Unknown33
Control: IMM Shigella HL1:4000,IMM Shigella HL,0.00025,Unknown33
Control: IMM Shigella HL1:16000,IMM Shigella HL,0.0000625,Unknown34
Control: IMM Shigella HL1:16000,IMM Shigella HL,0.0000625,Unknown34
